1.085276213214716339e+11 5.156177310781563759e+09 1.786778551085768938e+09
1.085242217033806152e+11 5.218754078690316200e+09 1.790346725735122204e+09
1.085207857089389648e+11 5.281329097346002579e+09 1.793914300276224613e+09
1.085173133389474945e+11 5.343902345756965637e+09 1.797481273507456541e+09
1.085138045942190399e+11 5.406473802931728363e+09 1.801047644227374315e+09
1.085102594755785217e+11 5.469043447879001617e+09 1.804613411234709978e+09
1.085066779838628693e+11 5.531611259607690811e+09 1.808178573328372240e+09
1.085030601199210968e+11 5.594177217126900673e+09 1.811743129307446718e+09
1.084994058846142273e+11 5.656741299445943832e+09 1.815307077971195936e+09
1.084957152788153381e+11 5.719303485574347496e+09 1.818870418119060516e+09
1.084919883034095764e+11 5.781863754521859169e+09 1.822433148550658941e+09
1.084882249592941132e+11 5.844422085298455238e+09 1.825995268065788269e+09
1.084844252473781738e+11 5.906978456914344788e+09 1.829556775464423895e+09
1.084805891685830383e+11 5.969532848379980087e+09 1.833117669546720982e+09
1.084767167238420258e+11 6.032085238706060410e+09 1.836677949113013983e+09
1.084728079141004944e+11 6.094635606903539658e+09 1.840237612963817358e+09
1.084688627403158722e+11 6.157183931983633995e+09 1.843796659899826288e+09
1.084648812034576111e+11 6.219730192957828522e+09 1.847355088721916199e+09
1.084608633045072327e+11 6.282274368837881088e+09 1.850912898231144190e+09
1.084568090444582825e+11 6.344816438635834694e+09 1.854470087228748798e+09
1.084527184243163757e+11 6.407356381364018440e+09 1.858026654516150475e+09
1.084485914450991821e+11 6.469894176035057068e+09 1.861582598894952059e+09
1.084444281078363800e+11 6.532429801661879539e+09 1.865137919166939020e+09
1.084402284135697479e+11 6.594963237257721901e+09 1.868692614134080172e+09
1.084359923633530731e+11 6.657494461836135864e+09 1.872246682598527908e+09
1.084317199582522125e+11 6.720023454410997391e+09 1.875800123362618208e+09
1.084274111993450623e+11 6.782550193996510506e+09 1.879352935228871822e+09
1.084230660877215881e+11 6.845074659607215881e+09 1.882905116999994040e+09
1.084186846244837799e+11 6.907596830257996559e+09 1.886456667478875160e+09
1.084142668107456818e+11 6.970116684964085579e+09 1.890007585468590975e+09
1.084098126476333923e+11 7.032634202741072655e+09 1.893557869772403479e+09
1.084053221362850647e+11 7.095149362604909897e+09 1.897107519193760633e+09
1.084007952778508911e+11 7.157662143571919441e+09 1.900656532536297083e+09
1.083962320734931335e+11 7.220172524658801079e+09 1.904204908603834867e+09
1.083916325243860779e+11 7.282680484882637978e+09 1.907752646200383425e+09
1.083869966317160797e+11 7.345186003260902405e+09 1.911299744130139589e+09
1.083823243966815338e+11 7.407689058811465263e+09 1.914846201197489262e+09
1.083776158204928894e+11 7.470189630552600861e+09 1.918392016207006216e+09
1.083728709043726501e+11 7.532687697502993584e+09 1.921937187963453770e+09
