1.499999812630803223e+11 5.400037855289156735e+07 3.784952609041524738e+02
1.499999437892400208e+11 1.080011287773498893e+08 1.135485770891416450e+03
1.499998875784808044e+11 1.620022437920003235e+08 2.270971469840808822e+03
1.499998126308070679e+11 2.160037167154195905e+08 3.784952249331277017e+03
1.499997189462258301e+11 2.700055406661369205e+08 5.677427952641583033e+03
1.499996065247467957e+11 3.240077087626352310e+08 7.948398374750195217e+03
1.499994753663822937e+11 3.780102141233522892e+08 1.059786326233519867e+04
1.499993254711473389e+11 4.320130498666819334e+08 1.362582231377420612e+04
1.499991568390595703e+11 4.860162091109750867e+08 1.703227517914428972e+04
1.499989694701393127e+11 5.400196849745410681e+08 2.081722146022191009e+04
1.499987633644095764e+11 5.940234705756487846e+08 2.498066071048287995e+04
1.499985385218959656e+11 6.480275590325278044e+08 2.952259243510230954e+04
1.499982949426268005e+11 7.020319434633694887e+08 3.444301609095458116e+04
1.499980326266330261e+11 7.560366169863283634e+08 3.974193108661333827e+04
1.499977515739482422e+11 8.100415727195230722e+08 4.541933678235147090e+04
1.499974517846087341e+11 8.640468037810375690e+08 5.147523249014111207e+04
1.499971332586534424e+11 9.180523032889225483e+08 5.790961747365367046e+04
1.499967959961239624e+11 9.720580643611962795e+08 6.472249094825983775e+04
1.499964399970645142e+11 1.026064080115845919e+09 7.191385208102963225e+04
1.499960652615220337e+11 1.080070343670828581e+09 7.948369999073244981e+04
1.499956717895460815e+11 1.134076848144072771e+09 8.743203374783710751e+04
1.499952595811889038e+11 1.188083586653479576e+09 9.575885237451193098e+04
1.499948286365053711e+11 1.242090552316923141e+09 1.044641548446248198e+05
1.499943789555530396e+11 1.296097738252252817e+09 1.135479400837433495e+05
1.499939105383921204e+11 1.350105137577293634e+09 1.230102069691348588e+05
1.499934233850855103e+11 1.404112743409847736e+09 1.328509543297665659e+05
1.499929174956987000e+11 1.458120548867695570e+09 1.430701809463057143e+05
1.499923928702999268e+11 1.512128547068597078e+09 1.536678855511196889e+05
1.499918495089600220e+11 1.566136731130292654e+09 1.646440668282761471e+05
1.499912874117525024e+11 1.620145094170504332e+09 1.759987234135432227e+05
1.499907065787535400e+11 1.674153629306937695e+09 1.877318538943896128e+05
1.499901070100419617e+11 1.728162329657281876e+09 1.998434568099848111e+05
1.499894887056992798e+11 1.782171188339211464e+09 2.123335306511993404e+05
1.499888516658096619e+11 1.836180198470387459e+09 2.252020738606048399e+05
1.499881958904599304e+11 1.890189353168458700e+09 2.384490848324743856e+05
1.499875213797395630e+11 1.944198645551062822e+09 2.520745619127826358e+05
1.499868281337407227e+11 1.998208068735827446e+09 2.660785033992061508e+05
1.499861161525581970e+11 2.052217615840371132e+09 2.804609075411234517e+05
1.499853854362894592e+11 2.106227279982305050e+09 2.952217725396155729e+05
1.499846359850346680e+11 2.160237054279233456e+09 3.103610965474660625e+05
1.499838677988966064e+11 2.214246931848756313e+09 3.258788776691613602e+05
1.499830808779807129e+11 2.268256905808468342e+09 3.417751139608910889e+05
1.499822752223951416e+11 2.322266969275961876e+09 3.580498034305484034e+05
1.499814508322506714e+11 2.376277115368827343e+09 3.747029440377301653e+05
1.499806077076607361e+11 2.430287337204654217e+09 3.917345336937373504e+05
1.499797458487414551e+11 2.484297627901033401e+09 4.091445702615754562e+05
1.499788652556116028e+11 2.538307980575557232e+09 4.269330515559547348e+05
1.499779659283926086e+11 2.592318388345820427e+09 4.450999753432904836e+05
1.499770478672085876e+11 2.646328844329422474e+09 4.636453393417036277e+05
1.499761110721863098e+11 2.700339341643967628e+09 4.825691412210209528e+05
1.499751555434552002e+11 2.754349873407066822e+09 5.018713786027754541e+05
1.499741812811473389e+11 2.808360432736339092e+09 5.215520490602068021e+05
1.499731882853975220e+11 2.862371012749411583e+09 5.416111501182618085e+05
1.499721765563431396e+11 2.916381606563921928e+09 5.620486792535947170e+05
1.499711460941242981e+11 2.970392207297518730e+09 5.828646338945677271e+05
1.499700968988837280e+11 3.024402808067862511e+09 6.040590114212513436e+05
1.499690289707668457e+11 3.078413401992628574e+09 6.256318091654251330e+05
1.499679423099217529e+11 3.132423982189505577e+09 6.475830244105776073e+05
1.499668369164991760e+11 3.186434541776198864e+09 6.699126543919073883e+05
1.499657127906525269e+11 3.240445073870430946e+09 6.926206962963230908e+05
1.499645699325379028e+11 3.294455571589941978e+09 7.157071472624441376e+05
1.499634083423140259e+11 3.348466028052491665e+09 7.391720043806013418e+05
1.499622280201423035e+11 3.402476436375861168e+09 7.630152646928371396e+05
1.499610289661868286e+11 3.456486789677852154e+09 7.872369251929065213e+05
1.499598111806143188e+11 3.510497081076290607e+09 8.118369828262770316e+05
1.499585746635941772e+11 3.564507303689025402e+09 8.368154344901298173e+05
1.499573194152984619e+11 3.618517450633931637e+09 8.621722770333599765e+05
1.499560454359019470e+11 3.672527515028910637e+09 8.879075072565770242e+05
1.499547527255820007e+11 3.726537489991891384e+09 9.140211219121058239e+05
1.499534412845187073e+11 3.780547368640831947e+09 9.405131177039869362e+05
1.499521111128947754e+11 3.834557144093719959e+09 9.673834912879770854e+05
1.499507622108956299e+11 3.888566809468575001e+09 9.946322392715502065e+05
1.499493945787093201e+11 3.942576357883448601e+09 1.022259358213897678e+06
1.499480082165265808e+11 3.996585782456426144e+09 1.050264844625929138e+06
1.499466031245408325e+11 4.050595076305627823e+09 1.078648694970273180e+06
1.499451793029481201e+11 4.104604232549209595e+09 1.107410905661277939e+06
1.499437367519472046e+11 4.158613244305364609e+09 1.136551473065011669e+06
